"seqn","indfmmpi","indfmmpc","inq300","ind310"
130862,0.46,1,2,1
130863,4.42,3,1,NA
130864,NA,NA,NA,NA
130865,NA,3,1,NA
130866,4.76,3,1,NA
130867,1.04,1,2,1
130868,0,1,2,3
130869,NA,9,2,5
130870,NA,NA,NA,NA
130871,NA,3,1,NA
130872,NA,NA,NA,NA
130873,0.6,1,2,1
130874,2.9,3,1,NA
130875,2.43,3,1,NA
130876,5,3,1,NA
130877,0.82,1,2,1
130878,3.46,3,2,1
130879,NA,3,2,77
130880,2.95,3,1,NA
130881,5,3,1,NA
130882,NA,3,9,NA
130883,1.6,2,2,1
130884,5,3,1,NA
130885,NA,3,1,NA
130886,5,3,1,NA
130887,0.79,1,2,1
130888,2.6,3,2,1
130889,0.87,1,2,4
130890,1.81,2,2,2
130891,2.38,3,2,1
130892,NA,3,1,NA
130893,NA,1,2,2
130894,0,1,2,1
130895,1.31,2,2,1
130896,0.77,1,2,1
130897,NA,NA,NA,NA
130898,NA,3,1,NA
130899,4.83,3,1,NA
130900,4.76,3,1,NA
130901,1.95,3,1,NA
130902,0.44,1,2,1
130903,NA,9,2,99
130904,5,3,1,NA
130905,5,3,1,NA
130906,0.91,1,7,NA
130907,1.11,1,2,4
130908,2.21,3,2,2
130909,NA,3,1,NA
130910,1.42,2,2,1
130911,3.04,3,2,4
130912,0.59,1,2,1
130913,5,3,1,NA
130914,NA,1,2,1
130915,5,3,1,NA
130916,NA,9,2,1
130917,NA,9,9,NA
130918,5,3,1,NA
130919,3.17,3,2,5
130920,1.65,2,2,1
130921,0.51,1,2,1
130922,5,3,2,4
130923,NA,NA,NA,NA
130924,1.73,2,2,4
130925,1.41,2,2,4
130926,4.59,3,1,NA
130927,0.48,1,2,1
130928,3.86,3,2,1
130929,NA,3,1,NA
130930,1.08,1,2,1
130931,3.6,3,1,NA
130932,0.81,1,2,1
130933,0.58,1,2,1
130934,2.61,3,1,NA
130935,2.65,3,2,4
130936,2.65,3,2,1
130937,NA,1,2,1
130938,1.59,2,1,NA
130939,NA,2,2,1
130940,NA,3,7,NA
130941,1.73,2,1,NA
130942,NA,NA,NA,NA
130943,2.25,3,1,NA
130944,1.04,1,2,1
130945,NA,1,2,1
130946,4.65,3,2,4
130947,2.38,3,2,3
130948,NA,1,2,1
130949,NA,1,2,1
130950,NA,2,2,3
130951,5,3,1,NA
130952,4.42,3,1,NA
130953,NA,NA,NA,NA
130954,1.77,2,1,NA
130955,1.12,1,2,1
130956,1.29,1,2,2
130957,3.87,3,2,5
130958,0.52,1,2,1
130959,1.42,2,2,1
130960,3.65,3,1,NA
130961,0,1,1,NA
130962,1.49,2,2,1
130963,2.29,3,2,1
130964,5,3,1,NA
130965,5,3,1,NA
130966,5,3,1,NA
130967,NA,NA,NA,NA
130968,1.46,2,1,NA
130969,1.05,1,2,99
130970,3.28,3,1,NA
130971,5,3,1,NA
130972,2.21,3,2,1
130973,0.19,1,2,1
130974,NA,NA,NA,NA
130975,NA,7,1,NA
130976,NA,1,2,1
130977,0,1,2,99
130978,2.75,3,1,NA
130979,NA,NA,NA,NA
130980,0.71,1,2,1
130981,0.98,1,2,3
130982,NA,NA,7,NA
130983,5,3,1,NA
130984,3.2,3,1,NA
130985,5,3,1,NA
130986,5,3,2,3
130987,5,3,1,NA
130988,0.72,1,2,1
130989,3.07,3,2,4
130990,1.6,2,2,1
130991,2.59,3,1,NA
130992,2.06,3,1,NA
130993,5,3,1,NA
130994,NA,1,2,1
130995,2.04,3,2,1
130996,2.21,3,2,1
130997,0.81,1,2,1
130998,0.81,1,2,1
130999,5,3,1,NA
131000,1.37,2,2,1
131001,1.31,2,2,1
131002,4.82,3,1,NA
131003,NA,NA,NA,NA
131004,3.53,3,1,NA
131005,1.12,1,2,1
131006,4.42,3,1,NA
131007,NA,3,2,3
131008,NA,NA,NA,NA
131009,1.3,1,2,1
131010,2.1,3,2,1
131011,1.82,2,2,1
131012,5,3,1,NA
131013,1.07,1,1,NA
131014,3.79,3,2,5
131015,NA,3,7,NA
131016,1.59,2,1,NA
131017,5,3,1,NA
131018,1.3,1,2,1
131019,NA,NA,NA,NA
131020,0.65,1,2,1
131021,NA,3,1,NA
131022,0.68,1,2,3
131023,2.62,3,2,2
131024,2.29,3,1,NA
131025,0.86,1,2,1
131026,2.73,3,1,NA
131027,NA,NA,NA,NA
131028,3.04,3,2,2
131029,1.56,2,2,5
131030,1.23,1,2,1
131031,NA,NA,NA,NA
131032,NA,3,1,NA
131033,5,3,2,4
131034,NA,NA,NA,NA
131035,3.16,3,1,NA
131036,1.81,2,2,3
131037,4.34,3,1,NA
131038,1.09,1,2,1
131039,1.48,2,2,2
131040,0.86,1,2,1
131041,2.29,3,1,NA
131042,1.28,1,2,1
131043,NA,NA,NA,NA
131044,5,3,1,NA
131045,5,3,1,NA
131046,3.09,3,2,2
131047,NA,NA,NA,NA
131048,NA,NA,NA,NA
131049,1.45,2,1,NA
131050,1.77,2,1,NA
131051,0.62,1,2,1
131052,NA,NA,NA,NA
131053,1.75,2,2,1
131054,0.75,1,2,1
131055,1.86,3,2,1
131056,1.2,1,2,1
131057,2.56,3,1,NA
131058,0.6,1,2,1
131059,5,3,1,NA
131060,2.65,3,2,3
131061,1.68,2,1,NA
131062,4.42,3,1,NA
131063,5,3,1,NA
131064,NA,1,2,2
131065,2.3,3,1,NA
131066,4.32,3,1,NA
131067,NA,NA,NA,NA
131068,0.57,1,2,1
131069,0.04,1,2,1
131070,NA,NA,NA,NA
131071,1,1,2,1
131072,NA,NA,NA,NA
131073,2.74,3,2,4
131074,NA,3,1,NA
131075,0.32,1,2,1
131076,3.65,3,2,4
131077,2.96,3,2,1
131078,NA,NA,NA,NA
131079,4.69,3,2,3
131080,1.1,1,2,1
131081,5,3,1,NA
131082,3.93,3,2,1
131083,0.54,1,2,1
131084,5,3,1,NA
131085,1.97,3,1,NA
131086,NA,2,2,2
131087,5,3,1,NA
131088,0.49,1,1,NA
131089,1.48,2,2,1
131090,NA,NA,NA,NA
131091,5,3,1,NA
131092,3.93,3,2,5
131093,3.04,3,1,NA
131094,5,3,1,NA
131095,4.13,3,2,1
131096,NA,3,1,NA
131097,1.51,2,2,1
131098,NA,7,7,NA
131099,4.69,3,1,NA
131100,0.78,1,2,1
131101,NA,NA,NA,NA
131102,NA,1,2,1
131103,NA,NA,NA,NA
131104,2.16,3,1,NA
131105,1.2,1,2,1
131106,5,3,1,NA
131107,0,1,1,NA
131108,2.75,3,2,1
131109,1.02,1,2,1
131110,0,1,2,1
131111,NA,1,9,NA
131112,3.34,3,2,1
131113,3.03,3,2,2
131114,0,1,2,1
131115,NA,NA,NA,NA
131116,NA,3,1,NA
131117,5,3,1,NA
131118,NA,NA,NA,NA
131119,1.02,1,2,1
131120,1.64,2,1,NA
131121,1.65,2,1,NA
131122,NA,2,7,NA
131123,NA,1,2,3
131124,1.64,2,1,NA
131125,NA,NA,NA,NA
131126,5,3,1,NA
131127,1.85,2,2,5
131128,1.49,2,1,NA
131129,1.31,2,1,NA
131130,NA,7,7,NA
131131,0,1,2,1
131132,2.29,3,2,4
131133,5,3,1,NA
131134,5,3,1,NA
131135,3.23,3,2,1
131136,1.77,2,1,NA
131137,2.21,3,1,NA
131138,5,3,2,2
131139,4.56,3,1,NA
131140,0.31,1,2,1
131141,0.48,1,2,1
131142,0.86,1,2,1
131143,NA,NA,NA,NA
131144,3.28,3,2,1
131145,1.49,2,2,1
131146,NA,NA,NA,NA
131147,NA,3,1,NA
131148,3.05,3,1,NA
131149,NA,NA,NA,NA
131150,2.8,3,1,NA
131151,4.72,3,1,NA
131152,5,3,1,NA
131153,NA,NA,NA,NA
131154,2.73,3,1,NA
131155,5,3,1,NA
131156,2.59,3,2,3
131157,NA,2,2,1
131158,2.39,3,7,NA
131159,1.07,1,2,1
131160,5,3,1,NA
131161,1.84,2,2,1
131162,1.55,2,2,1
131163,2.05,3,1,NA
131164,NA,NA,NA,NA
131165,1.3,1,1,NA
131166,0.46,1,2,1
131167,2.59,3,1,NA
131168,NA,NA,NA,NA
131169,2.03,3,1,NA
131170,1.77,2,2,1
131171,NA,2,1,NA
131172,3.28,3,1,NA
131173,2.98,3,1,NA
131174,5,3,1,NA
131175,1.22,1,1,NA
131176,2,3,1,NA
131177,1.64,2,2,2
131178,1.15,1,2,1
131179,0.95,1,2,1
131180,4.62,3,1,NA
131181,3.89,3,2,1
131182,2.22,3,2,1
131183,3.7,3,1,NA
131184,5,3,1,NA
131185,0,1,1,NA
131186,NA,NA,NA,NA
131187,1.95,3,2,1
131188,1.77,2,2,1
131189,1.37,2,2,1
131190,NA,NA,NA,NA
131191,3.93,3,2,2
131192,0,1,2,1
131193,3.16,3,1,NA
131194,3.54,3,2,2
131195,0.04,1,2,1
131196,0.82,1,2,1
131197,NA,NA,NA,NA
131198,NA,1,2,1
131199,3.39,3,2,1
131200,1.22,1,1,NA
131201,NA,3,1,NA
131202,5,3,1,NA
131203,3.28,3,1,NA
131204,1.25,1,1,NA
131205,2.36,3,2,5
131206,0.77,1,2,1
131207,5,3,1,NA
131208,3.79,3,2,1
131209,NA,3,2,1
131210,5,3,1,NA
131211,2.9,3,1,NA
131212,NA,NA,NA,NA
131213,0.92,1,2,1
131214,0.15,1,2,1
131215,NA,9,9,NA
131216,1.48,2,2,2
131217,NA,NA,NA,NA
131218,4.87,3,1,NA
131219,NA,1,7,NA
131220,2.63,3,2,2
131221,2.59,3,1,NA
131222,1.96,3,2,1
131223,4.69,3,1,NA
131224,NA,NA,NA,NA
131225,NA,1,2,1
131226,1.15,1,2,2
131227,5,3,1,NA
131228,5,3,1,NA
131229,3.15,3,1,NA
131230,2.65,3,2,3
131231,0.55,1,2,1
131232,NA,NA,NA,NA
131233,0.64,1,9,NA
131234,3.95,3,1,NA
131235,NA,NA,NA,NA
131236,5,3,1,NA
131237,0.92,1,2,1
131238,2.8,3,2,2
131239,2.47,3,1,NA
131240,2.88,3,1,NA
131241,5,3,1,NA
131242,1.64,2,2,1
131243,NA,1,2,1
131244,NA,NA,NA,NA
131245,1.23,1,2,1
131246,NA,9,2,99
131247,5,3,7,NA
131248,1.86,3,2,1
131249,5,3,1,NA
131250,1.18,1,2,1
131251,2.56,3,2,3
131252,0.68,1,2,3
131253,NA,3,1,NA
131254,3.67,3,2,1
131255,NA,NA,NA,NA
131256,NA,NA,NA,NA
131257,NA,NA,NA,NA
131258,1.12,1,2,1
131259,2.96,3,1,NA
131260,0.53,1,2,1
131261,0.36,1,2,1
131262,3.89,3,2,1
131263,1.56,2,1,NA
131264,2.47,3,2,1
131265,1.82,2,1,NA
131266,NA,3,1,NA
131267,NA,1,2,1
131268,0.68,1,2,1
131269,3.09,3,2,4
131270,1.41,2,2,1
131271,3.44,3,1,NA
131272,NA,1,2,1
131273,5,3,1,NA
131274,2.86,3,1,NA
131275,5,3,1,NA
131276,2.56,3,2,2
131277,NA,NA,NA,NA
131278,1.29,1,2,2
131279,NA,NA,NA,NA
131280,5,3,1,NA
131281,NA,NA,NA,NA
131282,2.74,3,2,2
131283,5,3,1,NA
131284,NA,9,1,NA
131285,2.12,3,1,NA
131286,2.38,3,2,5
131287,3.17,3,2,5
131288,NA,NA,NA,NA
131289,3.5,3,1,NA
131290,NA,NA,NA,NA
131291,3.04,3,1,NA
131292,0.74,1,2,1
131293,1.57,2,2,1
131294,NA,3,7,NA
131295,2.34,3,2,2
131296,NA,NA,NA,NA
131297,0.54,1,2,4
131298,2.75,3,2,1
131299,1.9,3,2,1
131300,2.17,3,1,NA
131301,2.47,3,2,2
131302,1.97,3,2,2
131303,2.17,3,1,NA
131304,0.71,1,2,1
131305,4,3,1,NA
131306,1.43,2,2,1
131307,4.56,3,1,NA
131308,4.86,3,1,NA
131309,0.82,1,2,1
131310,NA,3,1,NA
131311,5,3,1,NA
131312,1.76,2,2,1
131313,NA,NA,NA,NA
131314,4.8,3,1,NA
131315,3.28,3,1,NA
131316,NA,NA,NA,NA
131317,1.21,1,2,1
131318,NA,2,2,1
131319,5,3,1,NA
131320,2.8,3,7,NA
131321,0.34,1,2,1
131322,1.52,2,2,1
131323,2.61,3,1,NA
131324,1.31,2,2,4
131325,1.71,2,1,NA
131326,5,3,1,NA
131327,1.05,1,2,1
131328,4.69,3,1,NA
131329,0.86,1,2,1
131330,3.04,3,1,NA
131331,2.41,3,1,NA
131332,5,3,1,NA
131333,3.93,3,2,2
131334,3.7,3,1,NA
131335,0,1,2,1
131336,1.71,2,2,1
131337,NA,NA,NA,NA
131338,1.71,2,1,NA
131339,0.78,1,2,1
131340,NA,2,2,1
131341,1.61,2,2,1
131342,3.96,3,1,NA
131343,NA,2,2,1
131344,NA,NA,NA,NA
131345,1.61,2,2,1
131346,5,3,2,4
131347,3.17,3,2,1
131348,1.59,2,2,1
131349,5,3,1,NA
131350,3.41,3,2,5
131351,2.49,3,1,NA
131352,3.91,3,1,NA
131353,3.28,3,2,1
131354,1.97,3,2,1
131355,NA,2,2,1
131356,NA,NA,NA,NA
131357,NA,3,1,NA
131358,0.96,1,2,1
131359,NA,3,1,NA
131360,0.68,1,2,1
131361,1.61,2,1,NA
131362,1.63,2,1,NA
131363,5,3,1,NA
131364,3.2,3,1,NA
131365,2.08,3,2,2
131366,NA,3,2,1
131367,NA,NA,NA,NA
131368,4.87,3,1,NA
131369,1.77,2,2,99
131370,NA,3,9,NA
131371,4.17,3,1,NA
131372,NA,9,2,4
131373,4.87,3,1,NA
131374,3.65,3,1,NA
131375,2.74,3,2,2
131376,2.4,3,1,NA
131377,NA,3,2,1
131378,1.31,2,2,4
131379,NA,2,7,NA
131380,0.89,1,2,1
131381,3.41,3,2,1
131382,0.46,1,2,1
131383,2.43,3,1,NA
131384,5,3,1,NA
131385,NA,NA,NA,NA
131386,5,3,1,NA
131387,5,3,1,NA
131388,1.13,1,2,1
131389,3.97,3,1,NA
131390,NA,1,2,1
131391,3.93,3,2,1
131392,NA,3,1,NA
131393,0.26,1,2,1
131394,1.07,1,2,3
131395,5,3,7,NA
131396,1.49,2,2,1
131397,5,3,1,NA
131398,NA,NA,NA,NA
131399,4.1,3,1,NA
131400,1.31,2,2,2
131401,NA,NA,NA,NA
131402,1.49,2,2,1
131403,5,3,1,NA
131404,NA,NA,NA,NA
131405,2.36,3,2,5
131406,4.26,3,2,1
131407,NA,NA,NA,NA
131408,3.17,3,1,NA
131409,2.16,3,2,2
131410,3.28,3,2,4
131411,3.44,3,1,NA
131412,0.72,1,2,1
131413,NA,NA,NA,NA
131414,4,3,1,NA
131415,0.27,1,2,1
131416,0,1,1,NA
131417,NA,NA,NA,NA
131418,4.07,3,1,NA
131419,2.42,3,2,1
131420,NA,3,1,NA
131421,NA,3,1,NA
131422,1.35,2,2,4
131423,2.62,3,2,77
131424,NA,3,2,1
131425,1.36,2,2,3
131426,NA,1,2,2
131427,4.12,3,1,NA
131428,5,3,1,NA
131429,1.49,2,2,3
131430,NA,NA,NA,NA
131431,3.2,3,1,NA
131432,NA,7,7,NA
131433,4.12,3,1,NA
131434,5,3,1,NA
